date,country,cpi
1985-04-01,Japan,85.86953000000001
1985-04-01,New Zealand,37.8978
1985-04-01,Sweden,50.09686
1985-04-01,United Kingdom,45.17153
1985-04-01,United States,44.76237
1985-07-01,Australia,37.39148
1985-07-01,Canada,50.751000000000005
1985-07-01,France,58.35072
1985-07-01,Germany,59.30675
1985-07-01,Japan,86.02123
1985-07-01,New Zealand,39.06949
1985-07-01,Sweden,50.18704
1985-07-01,United Kingdom,45.455090000000006
1985-07-01,United States,45.1473
1985-10-01,Australia,38.24237
1985-10-01,Canada,51.18719
1985-10-01,France,58.86809
1985-10-01,Germany,59.45006
1985-10-01,Japan,86.63663000000001
1985-10-01,New Zealand,40.26944
1985-10-01,Sweden,51.18821
1985-10-01,United Kingdom,45.7663
1985-10-01,United States,45.807190000000006
1986-01-01,Australia,39.13538
1986-01-01,Canada,51.79002
1986-01-01,France,59.35764
1986-01-01,Germany,59.7527
1986-01-01,Japan,86.42666
1986-01-01,New Zealand,41.25062
1986-01-01,Sweden,51.93185
1986-01-01,United Kingdom,46.11674
1986-01-01,United States,46.16463
1986-04-01,Australia,40.01373
1986-04-01,Canada,52.77245
1986-04-01,France,60.04536
1986-04-01,Germany,59.7622
1986-04-01,Japan,87.32874
1986-04-01,New Zealand,42.60213
1986-04-01,Sweden,52.32062
1986-04-01,United Kingdom,47.00887
1986-04-01,United States,46.56331
1986-07-01,Australia,40.95923
1986-07-01,Canada,53.45324
1986-07-01,France,60.62962
1986-07-01,Germany,59.738240000000005
1986-07-01,Japan,87.34164
1986-07-01,New Zealand,44.39219
1986-07-01,Sweden,52.71389
1986-07-01,United Kingdom,47.13486
1986-07-01,United States,46.98949
1986-10-01,Australia,42.14304
1986-10-01,Canada,54.07108
1986-10-01,France,61.15039
1986-10-01,Germany,59.74652
1986-10-01,Japan,87.77466
1986-10-01,New Zealand,48.14203
1986-10-01,Sweden,53.42842
1986-10-01,United Kingdom,47.84344
1986-10-01,United States,47.56689
1987-01-01,Australia,43.12073
1987-01-01,Canada,54.41511
1987-01-01,France,61.90091999999999
1987-01-01,Germany,60.211940000000006
1987-01-01,Japan,87.49224
1987-01-01,New Zealand,49.44685
1987-01-01,Sweden,54.21325
1987-01-01,United Kingdom,48.35162
1987-01-01,United States,47.93808
1987-04-01,Australia,44.03
1987-04-01,Canada,55.14245
